station_id,year,window_start,window_end,dt_minutes,tmax,tmin,hours_above_ref,ref_temp,wb_p99,wb_p996,wb_max,wb_mean,hours_wb_above_ref,n_records_total,n_records_with_temp,nan_temp_count,n_unique_timestamps,duplicate_count,missing_pct,interval_change_flag,nan_count_tmpf,field_missing_pct_tmpf,nan_count_dwpf,field_missing_pct_dwpf,nan_count_relh,field_missing_pct_relh,nan_count_wetbulb_f,field_missing_pct_wetbulb_f,wetbulb_availability_pct,coverage_pct,partial_coverage_flag
IAD,2000,2000-01-01,2000-12-31,60.0,93.0,5.0,1031.0,75.0,75.8,76.75,78.91,48.49,139.0,8732,8732,0,8732,0,0.00592,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
IAD,2001,2001-01-01,2001-12-31,60.0,97.0,11.0,1243.0,75.0,76.41,77.98,79.61,49.49,193.0,8677,8673,4,8677,0,0.009475,False,4,0.000461,4,0.000461,4,0.000461,4,0.000461,100.0,1.0,False
IAD,2002,2002-01-01,2002-12-31,60.0,99.14,3.0,1503.0,75.0,77.55,78.97,84.14,49.93,302.0,8683,8678,5,8683,0,0.00879,False,5,0.000576,8,0.000921,8,0.000921,8,0.000921,99.97,1.0,False
IAD,2003,2003-01-01,2003-12-31,60.0,91.0,5.0,997.0,75.0,75.8,76.77,78.65,48.78,155.0,8688,8688,0,8688,0,0.008219,False,0,0.0,0,0.0,1,0.000115,1,0.000115,99.99,1.0,False
IAD,2004,2004-01-01,2004-12-31,60.0,91.0,4.0,1257.0,75.0,74.89,75.82,78.61,49.34,83.0,8658,8656,2,8658,0,0.014344,False,2,0.000231,4,0.000462,4,0.000462,4,0.000462,99.98,1.0,False
IAD,2005,2005-01-01,2005-12-31,60.0,95.0,10.0,1494.0,75.0,77.03,78.03,81.87,49.36,281.0,8168,8167,1,8168,0,0.06758,False,1,0.000122,2,0.000245,2,0.000245,2,0.000245,99.99,1.0,False
IAD,2006,2006-01-01,2006-12-31,60.0,98.0,11.0,1367.0,75.0,76.19,77.65,79.88,50.6,170.0,8312,8311,1,8312,0,0.051142,False,1,0.00012,0,0.0,1,0.00012,1,0.00012,100.0,1.0,False
IAD,2007,2007-01-01,2007-12-31,60.0,100.0,5.0,1751.0,75.0,75.05,77.4,80.42,49.21,91.0,8687,8687,0,8687,0,0.008333,False,0,0.0,0,0.0,1,0.000115,1,0.000115,99.99,1.0,False
IAD,2008,2008-01-01,2008-12-31,60.0,95.0,7.0,1350.0,75.0,74.58,76.51,78.98,49.07,68.0,8762,8762,0,8762,0,0.002505,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
IAD,2009,2009-01-01,2009-12-31,60.0,101.0,1.0,1408.0,75.0,74.0,75.23,78.62,48.92,44.0,8738,8735,3,8738,0,0.002511,False,3,0.000343,3,0.000343,3,0.000343,3,0.000343,100.0,1.0,False
IAD,2010,2010-01-01,2010-12-31,60.0,100.4,8.0,1807.0,75.0,76.62,78.05,80.51,49.49,253.0,8741,8741,0,8741,0,0.002169,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
IAD,2011,2011-01-01,2011-12-31,60.0,105.0,6.0,1601.0,75.0,77.02,78.11,81.98,50.43,253.0,8752,8751,1,8752,0,0.000913,False,1,0.000114,1,0.000114,1,0.000114,1,0.000114,100.0,1.0,False
IAD,2012,2012-01-01,2012-12-31,60.0,101.0,14.0,1555.0,75.0,75.87,77.4,80.5,51.03,172.0,8776,8776,0,8776,0,0.000911,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
IAD,2013,2013-01-01,2013-12-31,60.0,95.0,10.0,1363.0,75.0,76.05,77.33,80.54,48.98,176.0,8740,8740,0,8740,0,0.002283,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
IAD,2014,2014-01-01,2014-12-31,60.0,93.0,0.0,1044.0,75.0,75.02,76.11,77.96,47.17,90.0,8748,8747,1,8748,0,0.00137,False,1,0.000114,1,0.000114,1,0.000114,1,0.000114,100.0,1.0,False
IAD,2015,2015-01-01,2015-12-31,60.0,93.0,-2.0,1429.0,75.0,75.81,77.02,79.52,49.54,145.0,8692,8689,3,8692,0,0.007763,False,3,0.000345,4,0.00046,4,0.00046,4,0.00046,99.99,1.0,False
IAD,2016,2016-01-01,2016-12-31,60.0,99.0,5.0,1670.0,75.0,76.87,78.05,80.78,50.21,277.0,8778,8778,0,8778,0,0.000683,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
IAD,2017,2017-01-01,2017-12-31,60.0,94.0,8.1,1443.0,75.0,76.21,77.2,80.33,50.85,198.0,8746,8744,2,8746,0,0.001598,False,2,0.000229,2,0.000229,2,0.000229,2,0.000229,100.0,1.0,False
IAD,2018,2018-01-01,2018-12-31,60.0,95.0,0.0,1525.0,75.0,77.82,78.7,80.9,51.21,431.0,8695,8695,0,8695,0,0.00742,False,0,0.0,0,0.0,43,0.004945,43,0.004945,99.51,1.0,False
IAD,2019,2019-01-01,2019-12-31,60.0,99.0,-0.9,1620.0,75.0,76.39,77.2,80.47,50.12,190.0,8736,8736,0,8736,0,0.00274,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
IAD,2020,2020-01-01,2020-12-31,60.0,98.0,16.0,1422.0,75.0,76.88,77.72,79.87,51.21,290.0,8766,8766,0,8766,0,0.002049,False,0,0.0,1,0.000114,1,0.000114,1,0.000114,99.99,1.0,False
IAD,2021,2021-01-01,2021-12-31,60.0,99.0,18.0,1594.0,75.0,77.02,77.93,79.25,50.93,282.0,8751,8750,1,8751,0,0.001027,False,1,0.000114,1,0.000114,1,0.000114,1,0.000114,100.0,1.0,False
IAD,2022,2022-01-01,2022-12-31,60.0,96.0,7.0,1484.0,75.0,77.02,78.02,79.59,49.95,257.0,8745,8745,0,8745,0,0.001712,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
IAD,2023,2023-01-01,2023-12-31,60.0,99.0,12.9,1625.0,75.0,76.34,77.72,80.5,51.16,205.0,8734,8734,0,8734,0,0.002968,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
